19-03-2018 14:18:25 INFO  TestRunner:38 - ****************Test Run Started at_19-03-2018_14-18-25*******************
19-03-2018 14:18:31 INFO  Actionwords:1110 - <----------Scenario Started: Deselect multiple statements pending agreement--------------->
19-03-2018 14:18:33 INFO  TPLoginPage:40 - entering loginuname....[[ChromeDriver: chrome on XP (e50ffd28dc87c4c745b1a90481cd9ff9)] -> id: Email]
19-03-2018 14:18:34 INFO  TPLoginPage:45 - entering loginpwd....
19-03-2018 14:18:34 INFO  TPLoginPage:50 - clicking on login button...
19-03-2018 14:18:34 INFO  WaitHelper:28 - Waiting until element: '[[ChromeDriver: chrome on XP (e50ffd28dc87c4c745b1a90481cd9ff9)] -> xpath: //button[contains(text(),'Log in')]]' is clickable
19-03-2018 14:18:36 INFO  WaitHelper:36 - Waiting until element: '[[ChromeDriver: chrome on XP (e50ffd28dc87c4c745b1a90481cd9ff9)] -> xpath: //div[@class='container body-content']/h2]' is visible
19-03-2018 14:18:37 INFO  Actionwords:752 - true
19-03-2018 14:18:37 INFO  TPStatementPage:150 - No. of columns in the table header are: 16
19-03-2018 14:18:37 INFO  TPStatementPage:182 - Required column is present in statement table at position: 2
19-03-2018 14:18:37 INFO  TPStatementPage:193 - Row present in statement table are: 20
19-03-2018 14:18:39 INFO  TPStatementPage:278 - Number of statement present with required status of: Pending are- 20
19-03-2018 14:18:39 INFO  TPStatementPage:150 - No. of columns in the table header are: 16
19-03-2018 14:18:39 INFO  TPStatementPage:182 - Required column is present in statement table at position: 2
19-03-2018 14:18:39 INFO  TPStatementPage:193 - Row present in statement table are: 20
19-03-2018 14:18:40 INFO  TPStatementPage:278 - Number of statement present with required status of: Pending are- 20
19-03-2018 14:18:40 INFO  TPStatementPage:193 - Row present in statement table are: 20
19-03-2018 14:18:40 INFO  TPStatementPage:150 - No. of columns in the table header are: 16
19-03-2018 14:18:40 INFO  TPStatementPage:182 - Required column is present in statement table at position: 2
19-03-2018 14:18:40 INFO  TPStatementPage:193 - Row present in statement table are: 20
19-03-2018 14:18:41 INFO  TPStatementPage:278 - Number of statement present with required status of: Pending are- 20
19-03-2018 14:18:51 INFO  TPStatementPage:193 - Row present in statement table are: 20
19-03-2018 14:18:51 INFO  TPStatementPage:150 - No. of columns in the table header are: 16
19-03-2018 14:18:51 INFO  TPStatementPage:182 - Required column is present in statement table at position: 2
19-03-2018 14:18:51 INFO  TPStatementPage:193 - Row present in statement table are: 20
19-03-2018 14:18:53 INFO  TPStatementPage:278 - Number of statement present with required status of: Pending are- 20
19-03-2018 14:19:28 INFO  JavaScriptHelper:19 - window.scrollTo(0, -document.body.scrollHeight)
19-03-2018 14:20:37 INFO  Actionwords:1116 - <----------Scenario Completed: Deselect multiple statements pending agreement--------------->
19-03-2018 14:20:37 INFO  Actionwords:1131 - <<<<<------------------------------------------------------------------------------->>>>>
19-03-2018 14:20:38 INFO  TestRunner:56 - ****************Test Run Completed at_19-03-2018_14-20-38*******************
19-03-2018 21:16:03 INFO  TestRunner:38 - ****************Test Run Started at_19-03-2018_21-16-03*******************
19-03-2018 21:16:14 INFO  Actionwords:1097 - <----------Scenario Started: Select single statement pending agreement--------------->
19-03-2018 21:16:21 INFO  TPLoginPage:40 - entering loginuname....[[ChromeDriver: chrome on XP (cae2bb2f4f8be3ce8a4d693d94efec0b)] -> id: Email]
19-03-2018 21:16:21 INFO  TPLoginPage:45 - entering loginpwd....
19-03-2018 21:16:21 INFO  TPLoginPage:50 - clicking on login button...
19-03-2018 21:16:22 INFO  WaitHelper:28 - Waiting until element: '[[ChromeDriver: chrome on XP (cae2bb2f4f8be3ce8a4d693d94efec0b)] -> xpath: //button[contains(text(),'Log in')]]' is clickable
19-03-2018 21:16:27 INFO  WaitHelper:36 - Waiting until element: '[[ChromeDriver: chrome on XP (cae2bb2f4f8be3ce8a4d693d94efec0b)] -> xpath: //div[@class='container body-content']/h2]' is visible
19-03-2018 21:16:27 INFO  Actionwords:753 - true
19-03-2018 21:16:27 INFO  TPStatementPage:152 - No. of columns in the table header are: 16
19-03-2018 21:16:27 INFO  TPStatementPage:184 - Required column is present in statement table at position: 2
19-03-2018 21:16:27 INFO  TPStatementPage:201 - Row present in statement table are: 20
19-03-2018 21:16:29 INFO  TPStatementPage:286 - Number of statement present with required status of: Pending are- 20
19-03-2018 21:17:40 INFO  TPStatementPage:152 - No. of columns in the table header are: 16
19-03-2018 21:17:40 INFO  TPStatementPage:184 - Required column is present in statement table at position: 2
19-03-2018 21:19:04 INFO  Actionwords:1103 - <----------Scenario Completed: Select single statement pending agreement--------------->
19-03-2018 21:19:05 INFO  Actionwords:1118 - <<<<<------------------------------------------------------------------------------->>>>>
19-03-2018 21:19:08 INFO  TestRunner:56 - ****************Test Run Completed at_19-03-2018_21-19-08*******************
